name_distinct,ingredients
"Bejofo E., Akesson, lot MA72820 - 72.0%",Lecitina
"Kokoa Kamili, lot TZ72199 - 72.0%",Grano de cacao
"Kokoa Kamili, lot TZ72199 - 72.0%",Azúcar
"Kokoa Kamili, lot TZ72199 - 72.0%",Manteca de cacao
"Kokoa Kamili, lot TZ72199 - 72.0%",Lecitina
Xoconusco - 75.0%,Grano de cacao
Xoconusco - 75.0%,Azúcar
San Jose del Tambo - 70.0%,Grano de cacao
San Jose del Tambo - 70.0%,Azúcar
Davao - 77.0%,Grano de cacao
Davao - 77.0%,Azúcar
"Tenende, Uwate - 72.0%",Grano de cacao
"Tenende, Uwate - 72.0%",Azúcar
Cortes - 70.0%,Grano de cacao
Cortes - 70.0%,Azúcar
Mababa - 68.0%,Grano de cacao
Mababa - 68.0%,Azúcar
Mababa - 68.0%,Manteca de cacao
Solomon Islands - 70.0%,Grano de cacao
Solomon Islands - 70.0%,Azúcar
Solomon Islands - 70.0%,Manteca de cacao
Solomon Islands - 70.0%,Lecitina
Davao - 77.0%,Grano de cacao
Davao - 77.0%,Azúcar
Davao - 77.0%,Vainilla
Davao - 77.0%,Lecitina
"Paquibao E., 2016 - 70.0%",Grano de cacao
"Paquibao E., 2016 - 70.0%",Azúcar
"Paquibao E., 2016 - 70.0%",Manteca de cacao
South Cotabato - 70.0%,Grano de cacao
South Cotabato - 70.0%,Azúcar
South Cotabato - 70.0%,Manteca de cacao
"Saloy E., 2016 - 70.0%",Grano de cacao
"Saloy E., 2016 - 70.0%",Azúcar
"Saloy E., 2016 - 70.0%",Manteca de cacao
Tumaco - 70.0%,Grano de cacao
Tumaco - 70.0%,Azúcar
Zorzal - 70.0%,Grano de cacao
Zorzal - 70.0%,Azúcar
Bahia - 70.0%,Grano de cacao
Bahia - 70.0%,Azúcar
Houseblend - 70.0%,Grano de cacao
Houseblend - 70.0%,Azúcar
Sambirano - 70.0%,Grano de cacao
Sambirano - 70.0%,Azúcar
Houseblend - 80.0%,Grano de cacao
Houseblend - 80.0%,Azúcar
Papua New Guinea - 70.0%,Grano de cacao
Papua New Guinea - 70.0%,Azúcar
"Bahia, Vale Potumujo - 70.0%",Grano de cacao
"Bahia, Vale Potumujo - 70.0%",Azúcar
"Bambamarca, 2015 - 70.0%",Grano de cacao
"Bambamarca, 2015 - 70.0%",Azúcar
"Bambamarca, 2015 - 70.0%",Manteca de cacao
"Huallabamba, 2015 - 70.0%",Grano de cacao
"Huallabamba, 2015 - 70.0%",Azúcar
"Huallabamba, 2015 - 70.0%",Manteca de cacao
Belize - 72.0%,Grano de cacao
Belize - 72.0%,Azúcar
Belize - 72.0%,Manteca de cacao
Uganda - 82.0%,Grano de cacao
Uganda - 82.0%,Azúcar
Uganda - 82.0%,Manteca de cacao
Kokoa Kamili - 72.0%,Grano de cacao
Kokoa Kamili - 72.0%,Azúcar
Kokoa Kamili - 72.0%,Manteca de cacao
Duarte Province - 70.0%,Grano de cacao
Duarte Province - 70.0%,Azúcar
Chiapas - 70.0%,Grano de cacao
Chiapas - 70.0%,Azúcar
